Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2025/5/6,R2One_DANN_EEGNet_oneMengExp3ToMengExp12_1,0.65323(0.00860),0.63535(0.01008),0.69736(0.01144),0.69378(0.00656)
2025/5/6,R2One_DANN_ShallowConvNet_oneMengExp3ToMengExp12_1,0.60914(0.01085),0.58769(0.01227),0.67623(0.01093),0.66576(0.01531)
2025/5/6,R2One_DANN_DeepConvNet_oneMengExp3ToMengExp12_1,0.63138(0.00531),0.62085(0.00607),0.69736(0.00425),0.70124(0.00388)
2025/5/6,R2One_DANN_InceptionEEG_oneMengExp3ToMengExp12_1,0.64568(0.00182),0.63595(0.01323),0.70580(0.00916),0.69543(0.01382)
2025/5/6,R2One_DANN_EEGNet_oneMengExp3ToPhysioNetMI_1,0.65442(0.00453),0.63496(0.00305),0.62007(0.01503),0.60613(0.01829)
2025/5/6,R2One_DANN_ShallowConvNet_oneMengExp3ToPhysioNetMI_1,0.60516(0.01544),0.59722(0.01380),0.60826(0.02105),0.60594(0.02410)
2025/5/7,R2One_DANN_DeepConvNet_oneMengExp3ToPhysioNetMI_1,0.62721(0.01462),0.61787(0.01913),0.63311(0.01630),0.60704(0.01534)
2025/5/7,R2One_DANN_InceptionEEG_oneMengExp3ToPhysioNetMI_1,0.64826(0.00692),0.63535(0.00955),0.62552(0.02152),0.61458(0.01180)
