Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2025/5/5,R2One_DANet_EEGNet_oneMengExp3ToMengExp12_1,0.65124(0.00441),0.63158(0.00529),0.70706(0.01754),0.69998(0.00540)
2025/5/5,R2One_DANet_ShallowConvNet_oneMengExp3ToMengExp12_1,0.61609(0.01163),0.59881(0.00777),0.68961(0.01204),0.68059(0.01032)
2025/5/5,R2One_DANet_DeepConvNet_oneMengExp3ToMengExp12_1,0.63118(0.00410),0.61768(0.01153),0.70395(0.00245),0.69707(0.00384)
2025/5/5,R2One_DANet_InceptionEEG_oneMengExp3ToMengExp12_1,0.65025(0.00714),0.63793(0.00698),0.70076(0.00675),0.69048(0.01124)
2025/5/5,R2One_DANet_EEGNet_oneMengExp3ToPhysioNetMI_1,0.65164(0.00203),0.63476(0.00706),0.61648(0.01558),0.59688(0.01204)
2025/5/5,R2One_DANet_ShallowConvNet_oneMengExp3ToPhysioNetMI_1,0.60854(0.00773),0.59782(0.01436),0.59771(0.01561),0.58825(0.01614)
2025/5/5,R2One_DANet_DeepConvNet_oneMengExp3ToPhysioNetMI_1,0.63118(0.01014),0.62661(0.00772),0.63292(0.01484),0.61817(0.01418)
2025/5/5,R2One_DANet_InceptionEEG_oneMengExp3ToPhysioNetMI_1,0.65104(0.00617),0.63734(0.00642),0.62132(0.02279),0.62369(0.01476)
