Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2025/5/14,R2One_DANNWass_EEGNet_oneMengExp3ToMengExp12_1,0.65045(0.00506),0.63615(0.00627),0.69727(0.01045),0.69378(0.00696)
2025/5/14,R2One_DANNWass_ShallowConvNet_oneMengExp3ToMengExp12_1,0.61668(0.01351),0.60159(0.01469),0.68796(0.01073),0.67953(0.01167)
2025/5/14,R2One_DANNWass_DeepConvNet_oneMengExp3ToMengExp12_1,0.62582(0.01297),0.61589(0.01025),0.69988(0.00537),0.69135(0.01003)
2025/5/14,R2One_DANNWass_InceptionEEG_oneMengExp3ToMengExp12_1,0.65045(0.00711),0.63396(0.00553),0.70376(0.00708),0.69921(0.01058)
2025/5/15,R2One_DANNWass_EEGNet_oneMengExp3ToPhysioNetMI_1,0.65422(0.00476),0.63416(0.00642),0.62135(0.01742),0.60552(0.02342)
2025/5/15,R2One_DANNWass_ShallowConvNet_oneMengExp3ToPhysioNetMI_1,0.60636(0.00966),0.59086(0.01760),0.60108(0.01518),0.59077(0.01412)
2025/5/15,R2One_DANNWass_DeepConvNet_oneMengExp3ToPhysioNetMI_1,0.62920(0.01600),0.62105(0.00786),0.63166(0.01431),0.61292(0.01158)
2025/5/15,R2One_DANNWass_InceptionEEG_oneMengExp3ToPhysioNetMI_1,0.65025(0.00632),0.63754(0.00572),0.62933(0.01472),0.62320(0.02525)
