Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2025/5/11,R2One_DDC_EEGNet_oneMengExp3ToMengExp12_1,0.65005(0.00473),0.63913(0.00633),0.70677(0.00912),0.69465(0.00959)
2025/5/11,R2One_DDC_ShallowConvNet_oneMengExp3ToMengExp12_1,0.63376(0.00394),0.62105(0.01290),0.69106(0.00768),0.68108(0.00259)
2025/5/11,R2One_DDC_DeepConvNet_oneMengExp3ToMengExp12_1,0.62304(0.00909),0.60715(0.00788),0.68244(0.01587),0.68476(0.01074)
2025/5/12,R2One_DDC_InceptionEEG_oneMengExp3ToMengExp12_1,0.64945(0.00453),0.63277(0.00686),0.70211(0.00574),0.69174(0.00442)
2025/5/12,R2One_DDC_EEGNet_oneMengExp3ToPhysioNetMI_1,0.64508(0.00574),0.63654(0.01205),0.61249(0.02090),0.60068(0.02232)
2025/5/12,R2One_DDC_ShallowConvNet_oneMengExp3ToPhysioNetMI_1,0.63436(0.00508),0.62403(0.01490),0.60634(0.01484),0.58863(0.02526)
2025/5/12,R2One_DDC_DeepConvNet_oneMengExp3ToPhysioNetMI_1,0.61609(0.01851),0.60298(0.00962),0.62871(0.01583),0.61921(0.01271)
2025/5/12,R2One_DDC_InceptionEEG_oneMengExp3ToPhysioNetMI_1,0.63456(0.01545),0.62542(0.01623),0.62767(0.01599),0.61838(0.01750)
