Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2025/5/10,R2One_DANNPrototype_EEGNet_oneMengExp3ToMengExp12_1,0.65541(0.00787),0.64071(0.01117),0.69940(0.01136),0.69000(0.00904)
2025/5/10,R2One_DANNPrototype_ShallowConvNet_oneMengExp3ToMengExp12_1,0.64489(0.00564),0.62999(0.00678),0.71103(0.01066),0.69436(0.00153)
2025/5/10,R2One_DANNPrototype_DeepConvNet_oneMengExp3ToMengExp12_1,0.64369(0.00855),0.62562(0.01068),0.69950(0.00421),0.69300(0.01171)
2025/5/10,R2One_DANNPrototype_InceptionEEG_oneMengExp3ToMengExp12_1,0.65223(0.00432),0.63635(0.01300),0.70667(0.00778),0.70192(0.00968)
2025/5/10,R2One_DANNPrototype_EEGNet_oneMengExp3ToPhysioNetMI_1,0.65104(0.00204),0.63694(0.00980),0.62529(0.02679),0.61167(0.02334)
2025/5/10,R2One_DANNPrototype_ShallowConvNet_oneMengExp3ToPhysioNetMI_1,0.63654(0.00606),0.62363(0.01178),0.62089(0.01766),0.60046(0.01824)
2025/5/10,R2One_DANNPrototype_DeepConvNet_oneMengExp3ToPhysioNetMI_1,0.64131(0.01308),0.62383(0.01236),0.62514(0.00913),0.61271(0.00981)
2025/5/10,R2One_DANNPrototype_InceptionEEG_oneMengExp3ToPhysioNetMI_1,0.65283(0.00385),0.63178(0.00459),0.61796(0.02171),0.61353(0.00641)
