Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_InceptionEEG_MengExp12ToPhysioNetMI_1,0.87582(0.02018),0.86865(0.01871),0.78345(0.02439),0.77566(0.00686)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_EEGNet_PhysioNetMIToBCICIV2A_1,0.83345(0.01058),0.82311(0.01541),0.68100(0.09207),0.61611(0.08050)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_SFB_ShallowConvNet_PhysioNetMIToBCICIV2A_1,0.82965(0.00959),0.81847(0.00496),0.68413(0.06212),0.64857(0.09090)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_SFB_DeepConvNet_PhysioNetMIToBCICIV2A_1,0.83219(0.01089),0.81909(0.01613),0.63852(0.07284),0.62963(0.06309)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_SFB_InceptionEEG_PhysioNetMIToBCICIV2A_1,0.84311(0.01689),0.82542(0.00895),0.67327(0.08980),0.60991(0.07592)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_SFB_EEGNet_PhysioNetMIToMengExp3_1,0.83934(0.01941),0.83135(0.01407),0.75233(0.02208),0.73267(0.01624)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_SFB_ShallowConvNet_PhysioNetMIToMengExp3_1,0.84860(0.00942),0.82984(0.00989),0.77478(0.02109),0.76068(0.02207)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_SFB_DeepConvNet_PhysioNetMIToMengExp3_1,0.84968(0.01185),0.84124(0.01275),0.75452(0.02612),0.74181(0.01364)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_SFB_InceptionEEG_PhysioNetMIToMengExp3_1,0.85073(0.01296),0.83594(0.01416),0.74796(0.03276),0.73664(0.02824)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_SFB_EEGNet_PhysioNetMIToMengExp12_1,0.83829(0.01441),0.82837(0.01262),0.79071(0.00596),0.77763(0.00373)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_SFB_ShallowConvNet_PhysioNetMIToMengExp12_1,0.84587(0.00616),0.83132(0.01391),0.78751(0.01726),0.77898(0.02200)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_SFB_DeepConvNet_PhysioNetMIToMengExp12_1,0.83935(0.01677),0.83172(0.01377),0.79449(0.00333),0.78587(0.01425)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_SFB_InceptionEEG_PhysioNetMIToMengExp12_1,0.85218(0.01477),0.83784(0.02198),0.79595(0.01148),0.78374(0.01384)
