Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_EEGNet_MengExp12ToPhysioNetMI_1,0.85954(0.01733),0.85692(0.01547),0.78366(0.01127),0.77504(0.01679)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_ShallowConvNet_MengExp12ToPhysioNetMI_1,0.84713(0.01843),0.83443(0.02332),0.81130(0.01277),0.80414(0.02073)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_DeepConvNet_MengExp12ToPhysioNetMI_1,0.83279(0.01117),0.82803(0.00687),0.79485(0.00632),0.79063(0.00541)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_InceptionEEG_MengExp12ToPhysioNetMI_1,0.87990(0.01641),0.87136(0.01917),0.79653(0.01526),0.78725(0.01579)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_EEGNet_PhysioNetMIToBCICIV2A_1,0.84356(0.01802),0.83302(0.01205),0.71620(0.07681),0.67799(0.06459)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_ShallowConvNet_PhysioNetMIToBCICIV2A_1,0.84607(0.01101),0.82986(0.00884),0.77689(0.04772),0.73168(0.05012)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_FFB_DeepConvNet_PhysioNetMIToBCICIV2A_1,0.83069(0.01504),0.82099(0.01223),0.68723(0.07692),0.65904(0.08280)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_FFB_InceptionEEG_PhysioNetMIToBCICIV2A_1,0.85007(0.01705),0.83683(0.01284),0.76916(0.07672),0.73636(0.06630)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_FFB_EEGNet_PhysioNetMIToMengExp3_1,0.84377(0.01681),0.82585(0.02079),0.72771(0.02243),0.71797(0.02714)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_FFB_ShallowConvNet_PhysioNetMIToMengExp3_1,0.84925(0.00821),0.82860(0.00515),0.75650(0.01716),0.74657(0.02246)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_FFB_DeepConvNet_PhysioNetMIToMengExp3_1,0.83997(0.01595),0.83027(0.00716),0.74697(0.02491),0.73247(0.01959)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_FFB_InceptionEEG_PhysioNetMIToMengExp3_1,0.84776(0.01527),0.83597(0.01744),0.72572(0.02318),0.71539(0.01787)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_FFB_EEGNet_PhysioNetMIToMengExp12_1,0.83997(0.01796),0.82815(0.01495),0.77103(0.00978),0.76949(0.00902)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_FFB_ShallowConvNet_PhysioNetMIToMengExp12_1,0.84821(0.01251),0.83470(0.00728),0.79042(0.01467),0.77753(0.01658)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_FFB_DeepConvNet_PhysioNetMIToMengExp12_1,0.84230(0.01184),0.82523(0.01269),0.78596(0.00525),0.77646(0.01096)
2024-12-17,Comparison_EEG_Infinity005Wass_wo_FFB_InceptionEEG_PhysioNetMIToMengExp12_1,0.85114(0.01714),0.83366(0.01516),0.77317(0.00850),0.77278(0.00864)
