Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-12-29,Control_samplesize_EEG_Infinity005Wass_DeepConvNet_PhysioNetMIToBCICIV2A_1,0.80706(0.01866),0.79781(0.01451),0.67448(0.09071),0.66831(0.07063)
2024-12-29,Control_samplesize_EEG_Infinity005Wass_InceptionEEG_PhysioNetMIToBCICIV2A_1,0.81403(0.00936),0.79865(0.02173),0.69617(0.07611),0.67761(0.07811)
2024-12-29,Control_samplesize_EEG_Infinity005Wass_EEGNet_PhysioNetMIToMengExp3_1,0.82100(0.01242),0.81065(0.02347),0.74439(0.01378),0.72870(0.01174)
2024-12-29,Control_samplesize_EEG_Infinity005Wass_ShallowConvNet_PhysioNetMIToMengExp3_1,0.79970(0.00803),0.78367(0.01293),0.71440(0.01619),0.70824(0.01452)
2024-12-29,Control_samplesize_EEG_Infinity005Wass_DeepConvNet_PhysioNetMIToMengExp3_1,0.81253(0.01856),0.80374(0.01373),0.74062(0.01676),0.72910(0.02118)
2024-12-29,Control_samplesize_EEG_Infinity005Wass_InceptionEEG_PhysioNetMIToMengExp3_1,0.81908(0.01626),0.80539(0.01577),0.73962(0.02234),0.72512(0.02319)
2024-12-29,Control_samplesize_EEG_Infinity005Wass_EEGNet_PhysioNetMIToMengExp12_1,0.81806(0.01236),0.81701(0.00915),0.79207(0.00806),0.77666(0.00694)
2024-12-29,Control_samplesize_EEG_Infinity005Wass_ShallowConvNet_PhysioNetMIToMengExp12_1,0.79129(0.00722),0.78725(0.01186),0.76997(0.01059),0.75824(0.01115)
2024-12-29,Control_samplesize_EEG_Infinity005Wass_DeepConvNet_PhysioNetMIToMengExp12_1,0.81615(0.01465),0.79929(0.01084),0.78819(0.00570),0.78141(0.00694)
2024-12-29,Control_samplesize_EEG_Infinity005Wass_InceptionEEG_PhysioNetMIToMengExp12_1,0.81678(0.01548),0.80076(0.01287),0.79478(0.00463),0.78499(0.00658)
