Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2025-04-20,Comparison_DANet_EEGNet_sleephmcsleepstagingTocapslpdb_1,0.51026(0.00911),0.50426(0.01008),0.50290(0.00129),0.49791(0.00228)
2025-04-20,Comparison_DANet_ShallowConvNet_sleephmcsleepstagingTocapslpdb_1,0.62455(0.13590),0.62063(0.13744),0.60568(0.12257),0.60632(0.12367)
2025-04-20,Comparison_DANet_DeepConvNet_sleephmcsleepstagingTocapslpdb_1,0.71175(0.16732),0.70856(0.16950),0.63353(0.13648),0.63062(0.14085)
2025-04-21,Comparison_DANet_InceptionEEG_sleephmcsleepstagingTocapslpdb_1,0.50988(0.00724),0.50387(0.00805),0.50371(0.00201),0.49941(0.00376)
2025-04-24,Comparison_DANet_EEGNet_sexlargemiTosexopenbmi_1,0.93542(0.01712),0.93478(0.01794),0.59744(0.01509),0.59467(0.01876)
2025-04-24,Comparison_DANet_ShallowConvNet_sexlargemiTosexopenbmi_1,0.98337(0.00154),0.98224(0.00192),0.57081(0.01064),0.56483(0.01182)
2025-04-24,Comparison_DANet_DeepConvNet_sexlargemiTosexopenbmi_1,0.93388(0.02408),0.93457(0.02330),0.56771(0.01088),0.56216(0.01577)
2025-04-24,Comparison_DANet_InceptionEEG_sexlargemiTosexopenbmi_1,0.94298(0.02737),0.94198(0.02662),0.60223(0.01349),0.59359(0.02242)
2025-04-24,Comparison_DANet_EEGNet_sexopenbmiTosexlargemi_1,0.77880(0.05826),0.77461(0.05306),0.56385(0.01068),0.56266(0.01527)
2025-04-24,Comparison_DANet_ShallowConvNet_sexopenbmiTosexlargemi_1,0.85241(0.05689),0.85681(0.05981),0.56998(0.02449),0.56573(0.02846)
2025-04-24,Comparison_DANet_DeepConvNet_sexopenbmiTosexlargemi_1,0.68943(0.01408),0.68932(0.01485),0.54178(0.02004),0.54008(0.01987)
2025-04-24,Comparison_DANet_InceptionEEG_sexopenbmiTosexlargemi_1,0.76086(0.09564),0.76167(0.09264),0.53701(0.01619),0.53543(0.02085)
