Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-01-15,Comparison_EEG_Infinity004_EEGNet_BCICIV2AToMengExp3_1,0.78084(0.07057),0.78237(0.08912),0.64886(0.01498),0.64647(0.01036)
2024-01-15,Comparison_EEG_Infinity004_ShallowConvNet_BCICIV2AToMengExp3_1,0.79165(0.03431),0.78197(0.04340),0.61589(0.00723),0.60675(0.01601)
2024-01-15,Comparison_EEG_Infinity004_DeepConvNet_BCICIV2AToMengExp3_1,0.56666(0.06590),0.54661(0.05364),0.56405(0.05045),0.54955(0.05007)
2024-01-15,Comparison_EEG_Infinity004_InceptionEEG_BCICIV2AToMengExp3_1,0.79323(0.05517),0.79469(0.08626),0.65879(0.01556),0.64568(0.00955)
2024-01-15,Comparison_EEG_Infinity004_EEGNet_BCICIV2AToMengExp12_1,0.75609(0.06981),0.75838(0.09660),0.72955(0.01848),0.72538(0.01838)
2024-01-15,Comparison_EEG_Infinity004_ShallowConvNet_BCICIV2AToMengExp12_1,0.79858(0.03824),0.77190(0.07584),0.65316(0.01567),0.63707(0.02118)
2024-01-16,Comparison_EEG_Infinity004_DeepConvNet_BCICIV2AToMengExp12_1,0.66254(0.08146),0.64660(0.08673),0.71094(0.04859),0.70531(0.03672)
2024-01-16,Comparison_EEG_Infinity004_InceptionEEG_BCICIV2AToMengExp12_1,0.78353(0.07878),0.79588(0.09494),0.74273(0.02233),0.72955(0.02640)
2024-01-16,Comparison_EEG_Infinity004_EEGNet_BCICIV2AToPhysioNetMI_1,0.77037(0.07596),0.76342(0.08455),0.64919(0.01216),0.63373(0.02857)
2024-01-16,Comparison_EEG_Infinity004_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.80283(0.04380),0.77540(0.03801),0.63817(0.01550),0.63647(0.02039)
2024-01-16,Comparison_EEG_Infinity004_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.65802(0.10604),0.63150(0.09662),0.60333(0.04123),0.59934(0.04881)
2024-01-16,Comparison_EEG_Infinity004_InceptionEEG_BCICIV2AToPhysioNetMI_1,0.78544(0.07692),0.78233(0.10231),0.66096(0.01627),0.64788(0.02243)
2024-01-16,Comparison_EEG_Infinity004_EEGNet_MengExp3ToBCICIV2A_1,0.80258(0.01804),0.79146(0.01485),0.67213(0.06753),0.60529(0.05605)
2024-01-16,Comparison_EEG_Infinity004_ShallowConvNet_MengExp3ToBCICIV2A_1,0.80814(0.01444),0.79225(0.01605),0.71121(0.02878),0.69072(0.03591)
2024-01-16,Comparison_EEG_Infinity004_DeepConvNet_MengExp3ToBCICIV2A_1,0.74499(0.00986),0.74340(0.01540),0.65400(0.06525),0.64089(0.06627)
2024-01-16,Comparison_EEG_Infinity004_InceptionEEG_MengExp3ToBCICIV2A_1,0.80794(0.01823),0.80834(0.01245),0.64899(0.07024),0.63161(0.09068)
2024-01-16,Comparison_EEG_Infinity004_EEGNet_MengExp3ToMengExp12_1,0.80695(0.01076),0.79245(0.01772),0.79411(0.00690),0.78684(0.00900)
2024-01-16,Comparison_EEG_Infinity004_ShallowConvNet_MengExp3ToMengExp12_1,0.79345(0.01492),0.78312(0.01397),0.78286(0.02056),0.77123(0.02093)
2024-01-16,Comparison_EEG_Infinity004_DeepConvNet_MengExp3ToMengExp12_1,0.76465(0.01125),0.75134(0.01037),0.78276(0.01086),0.77840(0.00726)
2024-01-16,Comparison_EEG_Infinity004_InceptionEEG_MengExp3ToMengExp12_1,0.82344(0.01395),0.80933(0.01357),0.79362(0.01450),0.79033(0.01434)
2024-01-16,Comparison_EEG_Infinity004_EEGNet_MengExp3ToPhysioNetMI_1,0.82026(0.01073),0.80933(0.01926),0.79989(0.01876),0.79568(0.03131)
2024-01-16,Comparison_EEG_Infinity004_ShallowConvNet_MengExp3ToPhysioNetMI_1,0.79762(0.01155),0.78530(0.01406),0.77039(0.02097),0.76306(0.01751)
2024-01-16,Comparison_EEG_Infinity004_DeepConvNet_MengExp3ToPhysioNetMI_1,0.75889(0.01440),0.75035(0.02188),0.78304(0.01140),0.78620(0.00875)
